   1: notes = 100000000000, scaleid = A01, rotationid = 0, modeid = A001, inverse = A001, scalename = C
  31: notes = 110000001000, scaleid = C07, rotationid = 0, modeid = C007, inverse = C034, scalename = 174
  32: notes = 100000010001, scaleid = C07, rotationid = 1, modeid = C049, inverse = C004, scalename = 741
  33: notes = 100011000000, scaleid = C07, rotationid = 2, modeid = C028, inverse = C046, scalename = 417
  34: notes = 110000000100, scaleid = C08, rotationid = 0, modeid = C008, inverse = C027, scalename = 183
  35: notes = 100000001001, scaleid = C08, rotationid = 1, modeid = C052, inverse = C003, scalename = 831
  36: notes = 100110000000, scaleid = C08, rotationid = 2, modeid = C020, inverse = C050, scalename = 318
  37: notes = 110000000010, scaleid = C09, rotationid = 0, modeid = C009, inverse = C019, scalename = 192
  38: notes = 100000000101, scaleid = C09, rotationid = 1, modeid = C054, inverse = C002, scalename = 921
  39: notes = 101100000000, scaleid = C09, rotationid = 2, modeid = C011, inverse = C053, scalename = 219
  40: notes = 101010000000, scaleid = C10, rotationid = 0, modeid = C012, inverse = C051, scalename = 228
  41: notes = 101000000010, scaleid = C10, rotationid = 1, modeid = C018, inverse = C018, scalename = 282
  42: notes = 100000001010, scaleid = C10, rotationid = 2, modeid = C051, inverse = C012, scalename = 822
  43: notes = 101001000000, scaleid = C11, rotationid = 0, modeid = C013, inverse = C048, scalename = 237
  44: notes = 100100000010, scaleid = C11, rotationid = 1, modeid = C026, inverse = C017, scalename = 372
  45: notes = 100000010100, scaleid = C11, rotationid = 2, modeid = C047, inverse = C021, scalename = 723
  46: notes = 101000100000, scaleid = C12, rotationid = 0, modeid = C014, inverse = C044, scalename = 246
  47: notes = 100010000010, scaleid = C12, rotationid = 1, modeid = C033, inverse = C016, scalename = 462
  48: notes = 100000101000, scaleid = C12, rotationid = 2, modeid = C042, inverse = C029, scalename = 624
  49: notes = 101000010000, scaleid = C13, rotationid = 0, modeid = C015, inverse = C039, scalename = 255
  50: notes = 100001010000, scaleid = C13, rotationid = 1, modeid = C036, inverse = C036, scalename = 525
  51: notes = 100001000010, scaleid = C13, rotationid = 2, modeid = C039, inverse = C015, scalename = 552
  52: notes = 101000001000, scaleid = C14, rotationid = 0, modeid = C016, inverse = C033, scalename = 264
  53: notes = 100000100010, scaleid = C14, rotationid = 1, modeid = C044, inverse = C014, scalename = 642
  54: notes = 100010100000, scaleid = C14, rotationid = 2, modeid = C029, inverse = C042, scalename = 426
  55: notes = 101000000100, scaleid = C15, rotationid = 0, modeid = C017, inverse = C026, scalename = 273
  56: notes = 100000010010, scaleid = C15, rotationid = 1, modeid = C048, inverse = C013, scalename = 732
  57: notes = 100101000000, scaleid = C15, rotationid = 2, modeid = C021, inverse = C047, scalename = 327
  58: notes = 100100100000, scaleid = C16, rotationid = 0, modeid = C022, inverse = C043, scalename = 336
  59: notes = 100100000100, scaleid = C16, rotationid = 1, modeid = C025, inverse = C025, scalename = 363
  60: notes = 100000100100, scaleid = C16, rotationid = 2, modeid = C043, inverse = C022, scalename = 633
  61: notes = 100100010000, scaleid = C17, rotationid = 0, modeid = C023, inverse = C038, scalename = 345
  62: notes = 100010000100, scaleid = C17, rotationid = 1, modeid = C032, inverse = C024, scalename = 453
  63: notes = 100001001000, scaleid = C17, rotationid = 2, modeid = C037, inverse = C030, scalename = 534
  64: notes = 100100001000, scaleid = C18, rotationid = 0, modeid = C024, inverse = C032, scalename = 354
  65: notes = 100001000100, scaleid = C18, rotationid = 1, modeid = C038, inverse = C023, scalename = 543
  66: notes = 100010010000, scaleid = C18, rotationid = 1, modeid = C030, inverse = C037, scalename = 435
  67: notes = 100010001000, scaleid = C19, rotationid = 0, modeid = C031, inverse = C031, scalename = 444
  68: notes = 111100000000, scaleid = D01, rotationid = 0, modeid = D001, inverse = D165, scalename = 1119
  69: notes = 111000000001, scaleid = D01, rotationid = 1, modeid = D009, inverse = D045, scalename = 1191
  70: notes = 110000000011, scaleid = D01, rotationid = 2, modeid = D045, inverse = D009, scalename = 1911
  71: notes = 100000000111, scaleid = D01, rotationid = 3, modeid = D165, inverse = D001, scalename = 9111
  72: notes = 111010000000, scaleid = D02, rotationid = 0, modeid = D002, inverse = D164, scalename = 1128
  73: notes = 110100000001, scaleid = D02, rotationid = 1, modeid = D017, inverse = D044, scalename = 1281
  74: notes = 101000000011, scaleid = D02, rotationid = 2, modeid = D081, inverse = D008, scalename = 2811
  75: notes = 100000001110, scaleid = D02, rotationid = 3, modeid = D162, inverse = D046, scalename = 8112
  76: notes = 111001000000, scaleid = D03, rotationid = 0, modeid = D003, inverse = D161, scalename = 1137
  77: notes = 110010000001, scaleid = D03, rotationid = 1, modeid = D024, inverse = D042, scalename = 1371
  78: notes = 100100000011, scaleid = D03, rotationid = 2, modeid = D109, inverse = D007, scalename = 3711
  79: notes = 100000011100, scaleid = D03, rotationid = 3, modeid = D156, inverse = D082, scalename = 7113
  80: notes = 111000100000, scaleid = D04, rotationid = 0, modeid = D004, inverse = D155, scalename = 1146
  81: notes = 110001000001, scaleid = D04, rotationid = 1, modeid = D030, inverse = D039, scalename = 1461
  82: notes = 100010000011, scaleid = D04, rotationid = 2, modeid = D130, inverse = D006, scalename = 4611
  83: notes = 100000111000, scaleid = D04, rotationid = 3, modeid = D146, inverse = D110, scalename = 6114
  84: notes = 111000010000, scaleid = D05, rotationid = 0, modeid = D005, inverse = D145, scalename = 1155
  85: notes = 110000100001, scaleid = D05, rotationid = 1, modeid = D035, inverse = D035, scalename = 1551
  86: notes = 100001000011, scaleid = D05, rotationid = 2, modeid = D145, inverse = D005, scalename = 5511
  87: notes = 100001110000, scaleid = D05, rotationid = 3, modeid = D131, inverse = D131, scalename = 5115
  88: notes = 111000001000, scaleid = D06, rotationid = 0, modeid = D006, inverse = D130, scalename = 1164
  89: notes = 110000010001, scaleid = D06, rotationid = 1, modeid = D039, inverse = D030, scalename = 1641
  90: notes = 100000100011, scaleid = D06, rotationid = 2, modeid = D155, inverse = D004, scalename = 6411
  91: notes = 100011100000, scaleid = D06, rotationid = 3, modeid = D110, inverse = D146, scalename = 4116
  92: notes = 111000000100, scaleid = D07, rotationid = 0, modeid = D007, inverse = D109, scalename = 1173
  93: notes = 110000001001, scaleid = D07, rotationid = 1, modeid = D042, inverse = D024, scalename = 1731
  94: notes = 100000010011, scaleid = D07, rotationid = 2, modeid = D161, inverse = D003, scalename = 7311
  95: notes = 100111000000, scaleid = D07, rotationid = 3, modeid = D082, inverse = D156, scalename = 3117
  96: notes = 111000000010, scaleid = D08, rotationid = 0, modeid = D008, inverse = D081, scalename = 1182
  97: notes = 110000000101, scaleid = D08, rotationid = 1, modeid = D044, inverse = D017, scalename = 1821
  98: notes = 100000001011, scaleid = D08, rotationid = 2, modeid = D164, inverse = D002, scalename = 8211
  99: notes = 101110000000, scaleid = D08, rotationid = 3, modeid = D046, inverse = D162, scalename = 2118
 100: notes = 110110000000, scaleid = D09, rotationid = 0, modeid = D010, inverse = D163, scalename = 1218
 101: notes = 101100000001, scaleid = D09, rotationid = 1, modeid = D053, inverse = D043, scalename = 2181
 102: notes = 110000000110, scaleid = D09, rotationid = 2, modeid = D043, inverse = D053, scalename = 1812
 103: notes = 100000001101, scaleid = D09, rotationid = 3, modeid = D163, inverse = D010, scalename = 8121
 104: notes = 110101000000, scaleid = D10, rotationid = 0, modeid = D011, inverse = D160, scalename = 1227
 105: notes = 101010000001, scaleid = D10, rotationid = 1, modeid = D060, inverse = D041, scalename = 2271
 106: notes = 101000000110, scaleid = D10, rotationid = 2, modeid = D079, inverse = D052, scalename = 2712
 107: notes = 100000011010, scaleid = D10, rotationid = 3, modeid = D157, inverse = D054, scalename = 7122
 108: notes = 110100100000, scaleid = D11, rotationid = 0, modeid = D012, inverse = D154, scalename = 1236
 109: notes = 101001000001, scaleid = D11, rotationid = 1, modeid = D066, inverse = D038, scalename = 2361
 110: notes = 100100000110, scaleid = D11, rotationid = 2, modeid = D107, inverse = D051, scalename = 3612
 111: notes = 100000110100, scaleid = D11, rotationid = 3, modeid = D147, inverse = D089, scalename = 6123
 112: notes = 110100010000, scaleid = D12, rotationid = 0, modeid = D013, inverse = D144, scalename = 1245
 113: notes = 101000100001, scaleid = D12, rotationid = 1, modeid = D071, inverse = D034, scalename = 2451
 114: notes = 100010000110, scaleid = D12, rotationid = 2, modeid = D128, inverse = D050, scalename = 4512
 115: notes = 100001101000, scaleid = D12, rotationid = 3, modeid = D132, inverse = D116, scalename = 5124
 116: notes = 110100001000, scaleid = D13, rotationid = 0, modeid = D014, inverse = D129, scalename = 1254
 117: notes = 101000010001, scaleid = D13, rotationid = 1, modeid = D075, inverse = D029, scalename = 2541
 118: notes = 100001000110, scaleid = D13, rotationid = 2, modeid = D143, inverse = D049, scalename = 5412
 119: notes = 100011010000, scaleid = D13, rotationid = 3, modeid = D111, inverse = D136, scalename = 4125
 120: notes = 110100000100, scaleid = D14, rotationid = 0, modeid = D015, inverse = D108, scalename = 1263
 121: notes = 101000001001, scaleid = D14, rotationid = 1, modeid = D078, inverse = D023, scalename = 2631
 122: notes = 100000100110, scaleid = D14, rotationid = 2, modeid = D153, inverse = D048, scalename = 6312
 123: notes = 100110100000, scaleid = D14, rotationid = 3, modeid = D083, inverse = D150, scalename = 3126
 124: notes = 110100000010, scaleid = D15, rotationid = 0, modeid = D016, inverse = D080, scalename = 1272
 125: notes = 101000000101, scaleid = D15, rotationid = 1, modeid = D080, inverse = D016, scalename = 2721
 126: notes = 100000010110, scaleid = D15, rotationid = 2, modeid = D159, inverse = D047, scalename = 7212
 127: notes = 101101000000, scaleid = D15, rotationid = 3, modeid = D047, inverse = D159, scalename = 2127
 128: notes = 110011000000, scaleid = D16, rotationid = 0, modeid = D018, inverse = D158, scalename = 1317
 129: notes = 100110000001, scaleid = D16, rotationid = 1, modeid = D088, inverse = D040, scalename = 3171
 130: notes = 110000001100, scaleid = D16, rotationid = 2, modeid = D040, inverse = D088, scalename = 1713
 131: notes = 100000011001, scaleid = D16, rotationid = 3, modeid = D158, inverse = D018, scalename = 7131
 132: notes = 110010100000, scaleid = D17, rotationid = 0, modeid = D019, inverse = D152, scalename = 1326
 133: notes = 100101000001, scaleid = D17, rotationid = 1, modeid = D094, inverse = D037, scalename = 3261
 134: notes = 101000001100, scaleid = D17, rotationid = 2, modeid = D076, inverse = D087, scalename = 2613
 135: notes = 100000110010, scaleid = D17, rotationid = 3, modeid = D148, inverse = D061, scalename = 6132
 136: notes = 110010010000, scaleid = D18, rotationid = 0, modeid = D020, inverse = D142, scalename = 1335
 137: notes = 100100100001, scaleid = D18, rotationid = 1, modeid = D099, inverse = D033, scalename = 3351
 138: notes = 100100001100, scaleid = D18, rotationid = 2, modeid = D104, inverse = D086, scalename = 3513
 139: notes = 100001100100, scaleid = D18, rotationid = 3, modeid = D133, inverse = D095, scalename = 5133
 140: notes = 110010001000, scaleid = D19, rotationid = 0, modeid = D021, inverse = D127, scalename = 1344
 141: notes = 100100010001, scaleid = D19, rotationid = 1, modeid = D103, inverse = D028, scalename = 3441
 142: notes = 100010001100, scaleid = D19, rotationid = 2, modeid = D125, inverse = D085, scalename = 4413
 143: notes = 100011001000, scaleid = D19, rotationid = 3, modeid = D112, inverse = D121, scalename = 4134
 144: notes = 110010000100, scaleid = D20, rotationid = 0, modeid = D022, inverse = D106, scalename = 1353
 145: notes = 100100001001, scaleid = D20, rotationid = 1, modeid = D106, inverse = D022, scalename = 3531
 146: notes = 100001001100, scaleid = D20, rotationid = 2, modeid = D140, inverse = D084, scalename = 5313
 147: notes = 100110010000, scaleid = D20, rotationid = 3, modeid = D084, inverse = D140, scalename = 3135
 148: notes = 110010000010, scaleid = D21, rotationid = 0, modeid = D023, inverse = D078, scalename = 1362
 149: notes = 100100000101, scaleid = D21, rotationid = 1, modeid = D108, inverse = D015, scalename = 3621
 150: notes = 100000101100, scaleid = D21, rotationid = 2, modeid = D150, inverse = D083, scalename = 6213
 151: notes = 101100100000, scaleid = D21, rotationid = 3, modeid = D048, inverse = D153, scalename = 2136
 152: notes = 110001100000, scaleid = D22, rotationid = 0, modeid = D025, inverse = D149, scalename = 1416
 153: notes = 100011000001, scaleid = D22, rotationid = 1, modeid = D115, inverse = D036, scalename = 4161
 154: notes = 110000011000, scaleid = D22, rotationid = 2, modeid = D036, inverse = D115, scalename = 1614
 155: notes = 100000110001, scaleid = D22, rotationid = 3, modeid = D149, inverse = D025, scalename = 6141
 156: notes = 110001010000, scaleid = D23, rotationid = 0, modeid = D026, inverse = D139, scalename = 1425
 157: notes = 100010100001, scaleid = D23, rotationid = 1, modeid = D120, inverse = D032, scalename = 4251
 158: notes = 101000011000, scaleid = D23, rotationid = 2, modeid = D072, inverse = D114, scalename = 2514
 159: notes = 100001100010, scaleid = D23, rotationid = 3, modeid = D134, inverse = D067, scalename = 5142
 160: notes = 110001001000, scaleid = D24, rotationid = 0, modeid = D027, inverse = D124, scalename = 1434
 161: notes = 100010010001, scaleid = D24, rotationid = 1, modeid = D124, inverse = D027, scalename = 4341
 162: notes = 100100011000, scaleid = D24, rotationid = 2, modeid = D100, inverse = D113, scalename = 3414
 163: notes = 100011000100, scaleid = D24, rotationid = 3, modeid = D113, inverse = D100, scalename = 4143
 164: notes = 110001000100, scaleid = D25, rotationid = 0, modeid = D028, inverse = D103, scalename = 1443
 165: notes = 100010001001, scaleid = D25, rotationid = 1, modeid = D127, inverse = D021, scalename = 4431
 166: notes = 100010011000, scaleid = D25, rotationid = 2, modeid = D121, inverse = D112, scalename = 4314
 167: notes = 100110001000, scaleid = D25, rotationid = 3, modeid = D085, inverse = D125, scalename = 3144
 168: notes = 110001000010, scaleid = D26, rotationid = 0, modeid = D029, inverse = D075, scalename = 1452
 169: notes = 100010000101, scaleid = D26, rotationid = 1, modeid = D129, inverse = D014, scalename = 4521
 170: notes = 100001011000, scaleid = D26, rotationid = 2, modeid = D136, inverse = D111, scalename = 5214
 171: notes = 101100010000, scaleid = D26, rotationid = 3, modeid = D049, inverse = D143, scalename = 2145
 172: notes = 110000110000, scaleid = D27, rotationid = 0, modeid = D031, inverse = D135, scalename = 1515
 173: notes = 100001100001, scaleid = D27, rotationid = 1, modeid = D135, inverse = D031, scalename = 5151
 174: notes = 110000101000, scaleid = D28, rotationid = 0, modeid = D032, inverse = D120, scalename = 1524
 175: notes = 100001010001, scaleid = D28, rotationid = 1, modeid = D139, inverse = D026, scalename = 5241
 176: notes = 101000110000, scaleid = D28, rotationid = 2, modeid = D067, inverse = D134, scalename = 2415
 177: notes = 100011000010, scaleid = D28, rotationid = 3, modeid = D114, inverse = D072, scalename = 4152
 178: notes = 110000100100, scaleid = D29, rotationid = 0, modeid = D033, inverse = D099, scalename = 1533
 179: notes = 100001001001, scaleid = D29, rotationid = 1, modeid = D142, inverse = D020, scalename = 5331
 180: notes = 100100110000, scaleid = D29, rotationid = 2, modeid = D095, inverse = D133, scalename = 3315
 181: notes = 100110000100, scaleid = D29, rotationid = 3, modeid = D086, inverse = D104, scalename = 3153
 182: notes = 110000100010, scaleid = D30, rotationid = 0, modeid = D034, inverse = D071, scalename = 1542
 183: notes = 100001000101, scaleid = D30, rotationid = 1, modeid = D144, inverse = D013, scalename = 5421
 184: notes = 100010110000, scaleid = D30, rotationid = 2, modeid = D116, inverse = D132, scalename = 4215
 185: notes = 101100001000, scaleid = D30, rotationid = 3, modeid = D050, inverse = D128, scalename = 2154
 186: notes = 110000010100, scaleid = D31, rotationid = 0, modeid = D037, inverse = D094, scalename = 1623
 187: notes = 100000101001, scaleid = D31, rotationid = 1, modeid = D152, inverse = D019, scalename = 6231
 188: notes = 101001100000, scaleid = D31, rotationid = 2, modeid = D061, inverse = D148, scalename = 2316
 189: notes = 100110000010, scaleid = D31, rotationid = 3, modeid = D087, inverse = D076, scalename = 3162
 190: notes = 110000010010, scaleid = D32, rotationid = 0, modeid = D038, inverse = D066, scalename = 1632
 191: notes = 100000100101, scaleid = D32, rotationid = 1, modeid = D154, inverse = D012, scalename = 6321
 192: notes = 100101100000, scaleid = D32, rotationid = 2, modeid = D089, inverse = D147, scalename = 3216
 193: notes = 101100000100, scaleid = D32, rotationid = 3, modeid = D051, inverse = D107, scalename = 2163
 194: notes = 110000001010, scaleid = D33, rotationid = 0, modeid = D041, inverse = D060, scalename = 1722
 195: notes = 100000010101, scaleid = D33, rotationid = 1, modeid = D160, inverse = D011, scalename = 7221
 196: notes = 101011000000, scaleid = D33, rotationid = 2, modeid = D054, inverse = D157, scalename = 2217
 197: notes = 101100000010, scaleid = D33, rotationid = 3, modeid = D052, inverse = D079, scalename = 2172
 198: notes = 101010100000, scaleid = D34, rotationid = 0, modeid = D055, inverse = D151, scalename = 2226
 199: notes = 101010000010, scaleid = D34, rotationid = 1, modeid = D059, inverse = D077, scalename = 2262
 200: notes = 101000001010, scaleid = D34, rotationid = 2, modeid = D077, inverse = D059, scalename = 2622
 201: notes = 100000101010, scaleid = D34, rotationid = 3, modeid = D151, inverse = D055, scalename = 6222
 202: notes = 101010010000, scaleid = D35, rotationid = 0, modeid = D056, inverse = D141, scalename = 2235
 203: notes = 101001000010, scaleid = D35, rotationid = 1, modeid = D065, inverse = D074, scalename = 2352
 204: notes = 100100001010, scaleid = D35, rotationid = 2, modeid = D105, inverse = D058, scalename = 3522
 205: notes = 100001010100, scaleid = D35, rotationid = 3, modeid = D137, inverse = D090, scalename = 5223
 206: notes = 101010001000, scaleid = D36, rotationid = 0, modeid = D057, inverse = D126, scalename = 2244
 207: notes = 101000100010, scaleid = D36, rotationid = 1, modeid = D070, inverse = D070, scalename = 2442
 208: notes = 100010001010, scaleid = D36, rotationid = 2, modeid = D126, inverse = D057, scalename = 4422
 209: notes = 100010101000, scaleid = D36, rotationid = 3, modeid = D117, inverse = D117, scalename = 4224
 210: notes = 101010000100, scaleid = D37, rotationid = 0, modeid = D058, inverse = D105, scalename = 2253
 211: notes = 101000010010, scaleid = D37, rotationid = 1, modeid = D074, inverse = D065, scalename = 2532
 212: notes = 100001001010, scaleid = D37, rotationid = 2, modeid = D141, inverse = D056, scalename = 5322
 213: notes = 100101010000, scaleid = D37, rotationid = 3, modeid = D090, inverse = D137, scalename = 3225
 214: notes = 101001010000, scaleid = D38, rotationid = 0, modeid = D062, inverse = D138, scalename = 2325
 215: notes = 100101000010, scaleid = D38, rotationid = 1, modeid = D093, inverse = D073, scalename = 3252
 216: notes = 101000010100, scaleid = D38, rotationid = 2, modeid = D073, inverse = D093, scalename = 2523
 217: notes = 100001010010, scaleid = D38, rotationid = 3, modeid = D138, inverse = D062, scalename = 5232
 218: notes = 101001001000, scaleid = D39, rotationid = 0, modeid = D063, inverse = D123, scalename = 2334
 219: notes = 100100100010, scaleid = D39, rotationid = 1, modeid = D098, inverse = D069, scalename = 3342
 220: notes = 100100010100, scaleid = D39, rotationid = 2, modeid = D101, inverse = D092, scalename = 3423
 221: notes = 100010100100, scaleid = D39, rotationid = 3, modeid = D118, inverse = D096, scalename = 4233
 222: notes = 101001000100, scaleid = D40, rotationid = 0, modeid = D064, inverse = D102, scalename = 2343
 223: notes = 100100010010, scaleid = D40, rotationid = 1, modeid = D102, inverse = D064, scalename = 3432
 224: notes = 100010010100, scaleid = D40, rotationid = 2, modeid = D122, inverse = D091, scalename = 4323
 225: notes = 100101001000, scaleid = D40, rotationid = 3, modeid = D091, inverse = D122, scalename = 3234
 226: notes = 101000101000, scaleid = D41, rotationid = 0, modeid = D068, inverse = D119, scalename = 2424
 227: notes = 100010100010, scaleid = D41, rotationid = 1, modeid = D119, inverse = D068, scalename = 4242
 228: notes = 101000100100, scaleid = D42, rotationid = 0, modeid = D069, inverse = D098, scalename = 2433
 229: notes = 100010010010, scaleid = D42, rotationid = 1, modeid = D123, inverse = D063, scalename = 4332
 230: notes = 100100101000, scaleid = D42, rotationid = 2, modeid = D096, inverse = D118, scalename = 3324
 231: notes = 100101000100, scaleid = D42, rotationid = 3, modeid = D092, inverse = D101, scalename = 3243
 232: notes = 100100100100, scaleid = D43, rotationid = 0, modeid = D097, inverse = D097, scalename = 3333
 233: notes = 111110000000, scaleid = E01, rotationid = 0, modeid = E001, inverse = E330, scalename = 11118
 234: notes = 111000000011, scaleid = E01, rotationid = 1, modeid = E036, inverse = E036, scalename = 11811
 235: notes = 111100000001, scaleid = E01, rotationid = 2, modeid = E008, inverse = E120, scalename = 11181
 236: notes = 110000000111, scaleid = E01, rotationid = 3, modeid = E120, inverse = E008, scalename = 18111
 237: notes = 100000001111, scaleid = E01, rotationid = 4, modeid = E330, inverse = E001, scalename = 81111
 238: notes = 111101000000, scaleid = E02, rotationid = 0, modeid = E002, inverse = E329, scalename = 11127
 239: notes = 111010000001, scaleid = E02, rotationid = 1, modeid = E015, inverse = E119, scalename = 11271
 240: notes = 110100000011, scaleid = E02, rotationid = 2, modeid = E064, inverse = E035, scalename = 12711
 241: notes = 101000000111, scaleid = E02, rotationid = 3, modeid = E204, inverse = E007, scalename = 27111
 242: notes = 100000011110, scaleid = E02, rotationid = 4, modeid = E326, inverse = E121, scalename = 71112
 243: notes = 111100100000, scaleid = E03, rotationid = 0, modeid = E003, inverse = E325, scalename = 11136
 244: notes = 111001000001, scaleid = E03, rotationid = 1, modeid = E021, inverse = E116, scalename = 11361
 245: notes = 110010000011, scaleid = E03, rotationid = 2, modeid = E085, inverse = E033, scalename = 13611
 246: notes = 100100000111, scaleid = E03, rotationid = 3, modeid = E260, inverse = E006, scalename = 36111
 247: notes = 100000111100, scaleid = E03, rotationid = 4, modeid = E316, inverse = E205, scalename = 61113
 248: notes = 111100010000, scaleid = E04, rotationid = 0, modeid = E004, inverse = E315, scalename = 11145
 249: notes = 111000100001, scaleid = E04, rotationid = 1, modeid = E026, inverse = E110, scalename = 11451
 250: notes = 110001000011, scaleid = E04, rotationid = 2, modeid = E100, inverse = E030, scalename = 14511
 251: notes = 100010000111, scaleid = E04, rotationid = 3, modeid = E295, inverse = E005, scalename = 45111
 252: notes = 100001111000, scaleid = E04, rotationid = 4, modeid = E296, inverse = E261, scalename = 51114
 253: notes = 111100001000, scaleid = E05, rotationid = 0, modeid = E005, inverse = E295, scalename = 11154
 254: notes = 111000010001, scaleid = E05, rotationid = 1, modeid = E030, inverse = E100, scalename = 11541
 255: notes = 110000100011, scaleid = E05, rotationid = 2, modeid = E110, inverse = E026, scalename = 15411
 256: notes = 100001000111, scaleid = E05, rotationid = 3, modeid = E315, inverse = E004, scalename = 54111
 257: notes = 100011110000, scaleid = E05, rotationid = 4, modeid = E261, inverse = E296, scalename = 41115
 258: notes = 111100000100, scaleid = E06, rotationid = 0, modeid = E006, inverse = E260, scalename = 11163
 259: notes = 111000001001, scaleid = E06, rotationid = 1, modeid = E033, inverse = E085, scalename = 11631
 260: notes = 110000010011, scaleid = E06, rotationid = 2, modeid = E116, inverse = E021, scalename = 16311
 261: notes = 100000100111, scaleid = E06, rotationid = 3, modeid = E325, inverse = E003, scalename = 63111
 262: notes = 100111100000, scaleid = E06, rotationid = 4, modeid = E205, inverse = E316, scalename = 31116
 263: notes = 111100000010, scaleid = E07, rotationid = 0, modeid = E007, inverse = E204, scalename = 11172
 264: notes = 111000000101, scaleid = E07, rotationid = 1, modeid = E035, inverse = E064, scalename = 11721
 265: notes = 110000001011, scaleid = E07, rotationid = 2, modeid = E119, inverse = E015, scalename = 17211
 266: notes = 100000010111, scaleid = E07, rotationid = 3, modeid = E329, inverse = E002, scalename = 72111
 267: notes = 101111000000, scaleid = E07, rotationid = 4, modeid = E121, inverse = E326, scalename = 21117
 268: notes = 111011000000, scaleid = E08, rotationid = 0, modeid = E009, inverse = E328, scalename = 11217
 269: notes = 110110000001, scaleid = E08, rotationid = 1, modeid = E043, inverse = E118, scalename = 12171
 270: notes = 101100000011, scaleid = E08, rotationid = 2, modeid = E148, inverse = E034, scalename = 21711
 271: notes = 110000001110, scaleid = E08, rotationid = 3, modeid = E117, inverse = E127, scalename = 17112
 272: notes = 100000011101, scaleid = E08, rotationid = 4, modeid = E327, inverse = E037, scalename = 71121
 273: notes = 111010100000, scaleid = E09, rotationid = 0, modeid = E010, inverse = E324, scalename = 11226
 274: notes = 110101000001, scaleid = E09, rotationid = 1, modeid = E049, inverse = E115, scalename = 12261
 275: notes = 101010000011, scaleid = E09, rotationid = 2, modeid = E169, inverse = E032, scalename = 22611
 276: notes = 101000001110, scaleid = E09, rotationid = 3, modeid = E201, inverse = E126, scalename = 26112
 277: notes = 100000111010, scaleid = E09, rotationid = 4, modeid = E317, inverse = E149, scalename = 61122
 278: notes = 111010010000, scaleid = E10, rotationid = 0, modeid = E011, inverse = E314, scalename = 11235
 279: notes = 110100100001, scaleid = E10, rotationid = 1, modeid = E054, inverse = E109, scalename = 12351
 280: notes = 101001000011, scaleid = E10, rotationid = 2, modeid = E184, inverse = E029, scalename = 23511
